number,wordlen
0,4
1,4
2,4
3,4
4,4
5,4
6,5
7,6
8,4
9,4
10,4
11,3
12,5
13,8
14,8
15,8
16,8
17,8
18,9
19,8
20,7
21,13
22,14
23,14
24,14
25,14
26,15
27,16
28,14
29,14
30,7
31,13
32,14
33,14
34,14
35,14
36,15
37,16
38,14
39,14
40,7
41,13
42,14
43,14
44,14
45,14
46,15
47,16
48,14
49,14
50,7
51,13
52,14
53,14
54,14
55,14
56,15
57,16
58,14
59,14
60,7
61,13
62,14
63,14
64,14
65,14
66,15
67,16
68,14
69,14
70,7
71,13
72,14
73,14
74,14
75,14
76,15
77,16
78,14
79,14
80,7
81,13
82,14
83,14
84,14
85,14
86,15
87,16
88,14
89,14
90,7
91,13
92,14
93,14
94,14
95,14
96,15
97,16
98,14
99,14
100,10
101,17
102,17
103,17
104,17
105,17
106,18
107,19
108,17
109,17
110,17
111,16
112,18
113,21
114,21
115,21
116,21
117,21
118,22
119,21
120,20
121,26
122,27
123,27
124,27
125,27
126,28
127,29
128,27
129,27
130,20
131,26
132,27
133,27
134,27
135,27
136,28
137,29
138,27
139,27
140,20
141,26
142,27
143,27
144,27
145,27
146,28
147,29
148,27
149,27
150,20
151,26
152,27
153,27
154,27
155,27
156,28
157,29
158,27
159,27
160,20
161,26
162,27
163,27
164,27
165,27
166,28
167,29
168,27
169,27
170,20
171,26
172,27
173,27
174,27
175,27
176,28
177,29
178,27
179,27
180,20
181,26
182,27
183,27
184,27
185,27
186,28
187,29
188,27
189,27
190,20
191,26
192,27
193,27
194,27
195,27
196,28
197,29
198,27
199,27
200,11
201,18
202,18
203,18
204,18
205,18
206,19
207,20
208,18
209,18
210,18
211,17
212,19
213,22
214,22
215,22
216,22
217,22
218,23
219,22
220,21
221,27
222,28
223,28
224,28
225,28
226,29
227,30
228,28
229,28
230,21
231,27
232,28
233,28
234,28
235,28
236,29
237,30
238,28
239,28
240,21
241,27
242,28
243,28
244,28
245,28
246,29
247,30
248,28
249,28
250,21
251,27
252,28
253,28
254,28
255,28
256,29
257,30
258,28
259,28
260,21
261,27
262,28
263,28
264,28
265,28
266,29
267,30
268,28
269,28
270,21
271,27
272,28
273,28
274,28
275,28
276,29
277,30
278,28
279,28
280,21
281,27
282,28
283,28
284,28
285,28
286,29
287,30
288,28
289,28
290,21
291,27
292,28
293,28
294,28
295,28
296,29
297,30
298,28
299,28
300,11
301,18
302,18
303,18
304,18
305,18
306,19
307,20
308,18
309,18
310,18
311,17
312,19
313,22
314,22
315,22
316,22
317,22
318,23
319,22
320,21
321,27
322,28
323,28
324,28
325,28
326,29
327,30
328,28
329,28
330,21
331,27
332,28
333,28
334,28
335,28
336,29
337,30
338,28
339,28
340,21
341,27
342,28
343,28
344,28
345,28
346,29
347,30
348,28
349,28
350,21
351,27
352,28
353,28
354,28
355,28
356,29
357,30
358,28
359,28
360,21
361,27
362,28
363,28
364,28
365,28
366,29
367,30
368,28
369,28
370,21
371,27
372,28
373,28
374,28
375,28
376,29
377,30
378,28
379,28
380,21
381,27
382,28
383,28
384,28
385,28
386,29
387,30
388,28
389,28
390,21
391,27
392,28
393,28
394,28
395,28
396,29
397,30
398,28
399,28
400,11
401,18
402,18
403,18
404,18
405,18
406,19
407,20
408,18
409,18
410,18
411,17
412,19
413,22
414,22
415,22
416,22
417,22
418,23
419,22
420,21
421,27
422,28
423,28
424,28
425,28
426,29
427,30
428,28
429,28
430,21
431,27
432,28
433,28
434,28
435,28
436,29
437,30
438,28
439,28
440,21
441,27
442,28
443,28
444,28
445,28
446,29
447,30
448,28
449,28
450,21
451,27
452,28
453,28
454,28
455,28
456,29
457,30
458,28
459,28
460,21
461,27
462,28
463,28
464,28
465,28
466,29
467,30
468,28
469,28
470,21
471,27
472,28
473,28
474,28
475,28
476,29
477,30
478,28
479,28
480,21
481,27
482,28
483,28
484,28
485,28
486,29
487,30
488,28
489,28
490,21
491,27
492,28
493,28
494,28
495,28
496,29
497,30
498,28
499,28
500,11
501,18
502,18
503,18
504,18
505,18
506,19
507,20
508,18
509,18
510,18
511,17
512,19
513,22
514,22
515,22
516,22
517,22
518,23
519,22
520,21
521,27
522,28
523,28
524,28
525,28
526,29
527,30
528,28
529,28
530,21
531,27
532,28
533,28
534,28
535,28
536,29
537,30
538,28
539,28
540,21
541,27
542,28
543,28
544,28
545,28
546,29
547,30
548,28
549,28
550,21
551,27
552,28
553,28
554,28
555,28
556,29
557,30
558,28
559,28
560,21
561,27
562,28
563,28
564,28
565,28
566,29
567,30
568,28
569,28
570,21
571,27
572,28
573,28
574,28
575,28
576,29
577,30
578,28
579,28
580,21
581,27
582,28
583,28
584,28
585,28
586,29
587,30
588,28
589,28
590,21
591,27
592,28
593,28
594,28
595,28
596,29
597,30
598,28
599,28
600,12
601,19
602,19
603,19
604,19
605,19
606,20
607,21
608,19
609,19
610,19
611,18
612,20
613,23
614,23
615,23
616,23
617,23
618,24
619,23
620,22
621,28
622,29
623,29
624,29
625,29
626,30
627,31
628,29
629,29
630,22
631,28
632,29
633,29
634,29
635,29
636,30
637,31
638,29
639,29
640,22
641,28
642,29
643,29
644,29
645,29
646,30
647,31
648,29
649,29
650,22
651,28
652,29
653,29
654,29
655,29
656,30
657,31
658,29
659,29
660,22
661,28
662,29
663,29
664,29
665,29
666,30
667,31
668,29
669,29
670,22
671,28
672,29
673,29
674,29
675,29
676,30
677,31
678,29
679,29
680,22
681,28
682,29
683,29
684,29
685,29
686,30
687,31
688,29
689,29
690,22
691,28
692,29
693,29
694,29
695,29
696,30
697,31
698,29
699,29
700,13
701,20
702,20
703,20
704,20
705,20
706,21
707,22
708,20
709,20
710,20
711,19
712,21
713,24
714,24
715,24
716,24
717,24
718,25
719,24
720,23
721,29
722,30
723,30
724,30
725,30
726,31
727,32
728,30
729,30
730,23
731,29
732,30
733,30
734,30
735,30
736,31
737,32
738,30
739,30
740,23
741,29
742,30
743,30
744,30
745,30
746,31
747,32
748,30
749,30
750,23
751,29
752,30
753,30
754,30
755,30
756,31
757,32
758,30
759,30
760,23
761,29
762,30
763,30
764,30
765,30
766,31
767,32
768,30
769,30
770,23
771,29
772,30
773,30
774,30
775,30
776,31
777,32
778,30
779,30
780,23
781,29
782,30
783,30
784,30
785,30
786,31
787,32
788,30
789,30
790,23
791,29
792,30
793,30
794,30
795,30
796,31
797,32
798,30
799,30
800,11
801,18
802,18
803,18
804,18
805,18
806,19
807,20
808,18
809,18
810,18
811,17
812,19
813,22
814,22
815,22
816,22
817,22
818,23
819,22
820,21
821,27
822,28
823,28
824,28
825,28
826,29
827,30
828,28
829,28
830,21
831,27
832,28
833,28
834,28
835,28
836,29
837,30
838,28
839,28
840,21
841,27
842,28
843,28
844,28
845,28
846,29
847,30
848,28
849,28
850,21
851,27
852,28
853,28
854,28
855,28
856,29
857,30
858,28
859,28
860,21
861,27
862,28
863,28
864,28
865,28
866,29
867,30
868,28
869,28
870,21
871,27
872,28
873,28
874,28
875,28
876,29
877,30
878,28
879,28
880,21
881,27
882,28
883,28
884,28
885,28
886,29
887,30
888,28
889,28
890,21
891,27
892,28
893,28
894,28
895,28
896,29
897,30
898,28
899,28
900,11
901,18
902,18
903,18
904,18
905,18
906,19
907,20
908,18
909,18
910,18
911,17
912,19
913,22
914,22
915,22
916,22
917,22
918,23
919,22
920,21
921,27
922,28
923,28
924,28
925,28
926,29
927,30
928,28
929,28
930,21
931,27
932,28
933,28
934,28
935,28
936,29
937,30
938,28
939,28
940,21
941,27
942,28
943,28
944,28
945,28
946,29
947,30
948,28
949,28
950,21
951,27
952,28
953,28
954,28
955,28
956,29
957,30
958,28
959,28
960,21
961,27
962,28
963,28
964,28
965,28
966,29
967,30
968,28
969,28
970,21
971,27
972,28
973,28
974,28
975,28
976,29
977,30
978,28
979,28
980,21
981,27
982,28
983,28
984,28
985,28
986,29
987,30
988,28
989,28
990,21
991,27
992,28
993,28
994,28
995,28
996,29
997,30
998,28
999,28
1000,10
