number,wordlen,numeral
0,4,null
1,4,eins
2,4,zwei
3,4,drei
4,4,vier
5,4,fünf
6,5,sechs
7,6,sieben
8,4,acht
9,4,neun
10,4,zehn
11,3,elf
12,5,zwölf
13,8,dreizehn
14,8,vierzehn
15,8,fünfzehn
16,8,sechzehn
17,8,siebzehn
18,9,achtzechn
19,8,neunzehn
20,7,zwanzig
21,13,einundzwanzig
22,14,zweiundzwanzig
23,14,dreiundzwanzig
24,14,vierundzwanzig
25,14,fünfundzwanzig
26,15,sechsundzwanzig
27,16,siebenundzwanzig
28,14,achtundzwanzig
29,14,neunundzwanzig
30,7,dreißig
31,13,einunddreißig
32,14,zweiunddreißig
33,14,dreiunddreißig
34,14,vierunddreißig
35,14,fünfunddreißig
36,15,sechsunddreißig
37,16,siebenunddreißig
38,14,achtunddreißig
39,14,neununddreißig
40,7,vierzig
41,13,einundvierzig
42,14,zweiundvierzig
43,14,dreiundvierzig
44,14,vierundvierzig
45,14,fünfundvierzig
46,15,sechsundvierzig
47,16,siebenundvierzig
48,14,achtundvierzig
49,14,neunundvierzig
50,7,fünfzig
51,13,einundfünfzig
52,14,zweiundfünfzig
53,14,dreiundfünfzig
54,14,vierundfünfzig
55,14,fünfundfünfzig
56,15,sechsundfünfzig
57,16,siebenundfünfzig
58,14,achtundfünfzig
59,14,neunundfünfzig
60,7,sechzig
61,13,einundsechzig
62,14,zweiundsechzig
63,14,dreiundsechzig
64,14,vierundsechzig
65,14,fünfundsechzig
66,15,sechsundsechzig
67,16,siebenundsechzig
68,14,achtundsechzig
69,14,neunundsechzig
70,7,siebzig
71,13,einundsiebzig
72,14,zweiundsiebzig
73,14,dreiundsiebzig
74,14,vierundsiebzig
75,14,fünfundsiebzig
76,15,sechsundsiebzig
77,16,siebenundsiebzig
78,14,achtundsiebzig
79,14,neunundsiebzig
80,7,achtzig
81,13,einundachtzig
82,14,zweiundachtzig
83,14,dreiundachtzig
84,14,vierundachtzig
85,14,fünfundachtzig
86,15,sechsundachtzig
87,16,siebenundachtzig
88,14,achtundachtzig
89,14,neunundachtzig
90,7,neunzig
91,13,einundneunzig
92,14,zweiundneunzig
93,14,dreiundneunzig
94,14,vierundneunzig
95,14,fünfundneunzig
96,15,sechsundneunzig
97,16,siebenundneunzig
98,14,achtundneunzig
99,14,neunundneunzig
100,10,einhundert
