number,wordlen,numeral
0,4,zero
1,3,one
2,3,two
3,5,three
4,4,four
5,4,five
6,3,six
7,5,seven
8,5,eight
9,4,nine
10,3,ten
11,6,eleven
12,6,twelve
13,8,thirteen
14,8,fourteen
15,7,fifteen
16,7,sixteen
17,9,seventeen
18,8,eighteen
19,8,nineteen
20,6,twenty
21,10,twenty-one
22,10,twenty-two
23,12,twenty-three
24,11,twenty-four
25,11,twenty-five
26,10,twenty-six
27,12,twenty-seven
28,12,twenty-eight
29,11,twenty-nine
30,6,thirty
31,10,thirty-one
32,10,thirty-two
33,12,thirty-three
34,11,thirty-four
35,11,thirty-five
36,10,thirty-six
37,12,thirty-seven
38,12,thirty-eight
39,11,thirty-nine
40,5,forty
41,9,forty-one
42,9,forty-two
43,11,forty-three
44,10,forty-four
45,10,forty-five
46,9,forty-six
47,11,forty-seven
48,11,forty-eight
49,10,forty-nine
50,5,fifty
51,9,fifty-one
52,9,fifty-two
53,11,fifty-three
54,10,fifty-four
55,10,fifty-five
56,9,fifty-six
57,11,fifty-seven
58,11,fifty-eight
59,10,fifty-nine
60,5,sixty
61,9,sixty-one
62,9,sixty-two
63,11,sixty-three
64,10,sixty-four
65,10,sixty-five
66,9,sixty-six
67,11,sixty-seven
68,11,sixty-eight
69,10,sixty-nine
70,7,seventy
71,11,seventy-one
72,11,seventy-two
73,13,seventy-three
74,12,seventy-four
75,12,seventy-five
76,11,seventy-six
77,13,seventy-seven
78,13,seventy-eight
79,12,seventy-nine
80,6,eighty
81,10,eighty-one
82,10,eighty-two
83,12,eighty-three
84,11,eighty-four
85,11,eighty-five
86,10,eighty-six
87,12,eighty-seven
88,12,eighty-eight
89,11,eighty-nine
90,6,ninety
91,10,ninety-one
92,10,ninety-two
93,12,ninety-three
94,11,ninety-four
95,11,ninety-five
96,10,ninety-six
97,12,ninety-seven
98,12,ninety-eight
99,11,ninety-nine
100,10,one hundred
